MODEL PATTERN,FOOT REST,SGC:FRT PUBX,SGC:FRT PUBX UP,SGC:REAR PUBX,B/PANEL,EURO-5,SIDE STEP
120423U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120424U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120425U0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120233U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120234U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120235U0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120236U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120237U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120238U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120239U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120399U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120241U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120242U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120243U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120244U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120245U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120246U0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120247U0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120248U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120249U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120415U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120251U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120252U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120253U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120254U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120255U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120256U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120257U0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
120258U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120259U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120447U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120448U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120449U0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120467U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120451U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120452U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120453U0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120454U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120455U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120456U0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120428U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
120429U0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
